date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,100,-0.05,0,0,10.42,7.21,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,75.459,0,none,14.47
05/15/2011,40618,1,0,0,0,0,0,100,-0.05,0,0,10.12,6.96,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,2,0,0,0,0,0,100,-0.05,0,0,9.87,6.72,9.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,3,0,0,0,0,0,100,-0.05,0,0,9.65,6.49,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,4,0,0,0,0,0,100,-0.05,0,2.88,9.44,6.27,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,5,0,0,0,0,0,100,-0.05,0,77.2,9.24,6.31,9.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,6,0,0,0,0,0,100,-0.05,0,178.97,9.23,6.71,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.076,0,none,14.47
05/15/2011,40618,7,0,0,0,0,0,100,-0.05,0,272.32,10.16,7.41,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.929,0,none,14.47
05/15/2011,40618,8,0,0,0,0,0,98.01,-0.05,0,352.89,11.44,8.36,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.574,0,none,14.47
05/15/2011,40618,9,0,0,0,0,0,90.75,-0.05,0,416.88,12.84,9.5,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,71.091,0,none,14.47
05/15/2011,40618,10,0,0,0,0,0,83.47,-0.05,0,461.28,14.18,10.75,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,69.55,0,none,14.47
05/15/2011,40618,11,0,0,0,0,0,76.71,-0.05,0,484.02,15.37,12.03,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.875,0,none,14.47
05/15/2011,40618,12,0,0,0,0,0,70.83,-0.05,0,484.02,16.35,13.25,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,66.274,0,none,14.47
05/15/2011,40618,13,0,0,0,0,0,66.06,-0.05,0,461.28,17.08,14.32,17.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,64.778,0,none,14.47
05/15/2011,40618,14,0,0,0,0,0,62.5,-0.05,0,416.88,17.55,15.18,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.469,0,none,14.47
05/15/2011,40618,15,0,0,0,0,0,60.2,-0.05,0,352.89,17.73,15.76,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.503,0,none,14.47
05/15/2011,40618,16,0,0,0,0,0,59.16,-0.05,0,272.32,17.63,16.04,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.953,0,none,14.47
05/15/2011,40618,17,0,0,0,0,0,59.37,-0.05,0,178.97,17.25,15.98,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.877,0,none,14.47
05/15/2011,40618,18,0,0,0,0,0,60.85,-0.05,0,77.2,16.58,15.6,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.274,0,none,14.47
05/15/2011,40618,19,0,0,0,0,0,64.8,-0.05,0,2.88,15.61,14.62,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.094,0,none,14.47
