date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,92.61,-0.05,0,0,12.04,9.14,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,75.459,0,none,14.47
05/15/2011,40618,1,0,0,0,0,0,94.06,-0.05,0,0,11.61,8.91,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,2,0,0,0,0,0,95.49,-0.05,0,0,11.34,8.69,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,3,0,0,0,0,0,96.88,-0.05,0,0,11.14,8.48,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,4,0,0,0,0,0,98.23,-0.05,0,2.88,10.96,8.27,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,5,0,0,0,0,0,97.97,-0.05,0,77.2,10.79,8.31,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.176,0,none,14.47
05/15/2011,40618,6,0,0,0,0,0,95.21,-0.05,0,178.97,10.8,8.74,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.365,0,none,14.47
05/15/2011,40618,7,0,0,0,0,0,90.62,-0.05,0,272.32,11.66,9.47,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.127,0,none,14.47
05/15/2011,40618,8,0,0,0,0,0,84.8,-0.05,0,352.89,12.82,10.46,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,71.638,0,none,14.47
05/15/2011,40618,9,0,0,0,0,0,78.41,-0.05,0,416.88,14.1,11.64,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,70.079,0,none,14.47
