date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,92.73,-0.05,0,0,10.4,7.21,10.4,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,75.459,0,none,14.47
05/15/2011,40618,1,0,0,0,0,0,94.33,-0.05,0,0,9.96,6.96,9.96,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,2,0,0,0,0,0,95.9,-0.05,0,0,9.68,6.72,9.68,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,3,0,0,0,0,0,97.42,-0.05,0,0,9.46,6.49,9.46,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,4,0,0,0,0,0,98.91,-0.05,0,2.88,9.27,6.27,9.27,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.47
05/15/2011,40618,5,0,0,0,0,0,98.69,-0.05,0,77.2,9.09,6.31,9.09,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.324,0,none,14.47
05/15/2011,40618,6,0,0,0,0,0,95.98,-0.05,0,178.97,9.08,6.71,9.08,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.588,0,none,14.47
05/15/2011,40618,7,0,0,0,0,0,91.47,-0.05,0,272.32,9.99,7.41,9.99,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.403,0,none,14.47
05/15/2011,40618,8,0,0,0,0,0,85.72,-0.05,0,352.89,11.22,8.36,11.22,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,71.976,0,none,14.47
05/15/2011,40618,9,0,0,0,0,0,79.37,-0.05,0,416.88,12.56,9.5,12.56,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,70.482,0,none,14.47
05/15/2011,40618,10,0,0,0,0,0,73,-0.05,0,461.28,13.87,10.75,13.87,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.858,0,none,14.47
05/15/2011,40618,11,0,0,0,0,0,67.09,-0.05,0,484.02,15.05,12.03,15.05,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.148,0,none,14.47
05/15/2011,40618,12,0,0,0,0,0,61.95,-0.05,0,484.02,16.03,13.25,16.03,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.514,0,none,14.47
05/15/2011,40618,13,0,0,0,0,0,57.78,-0.05,0,461.28,16.76,14.32,16.76,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,nan,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.937,0,none,14.47
