date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,98.16,-0.05,0,0,10.48,7.73,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,74.88,0,none,14.42
05/15/2011,40618,1,0,0,0,0,0,100,-0.05,0,0,10.5,7.41,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.959,0,none,14.42
05/15/2011,40618,2,0,0,0,0,0,100,-0.05,0,0,10.37,7.1,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.967,0,none,14.42
05/15/2011,40618,3,0,0,0,0,0,100,-0.05,0,0,10.19,6.81,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.944,0,none,14.42
05/15/2011,40618,4,0,0,0,0,0,100,-0.05,0,1.57,9.99,6.54,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.905,0,none,14.42
05/15/2011,40618,5,0,0,0,0,0,100,-0.05,0,50.05,9.79,6.56,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.856,0,none,14.42
05/15/2011,40618,6,0,0,0,0,0,100,-0.05,0,118.17,9.73,7.02,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.764,0,none,14.42
05/15/2011,40618,7,0,0,0,0,0,97.5,-0.05,0,180.71,10.37,7.83,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.347,0,none,14.42
05/15/2011,40618,8,0,0,0,0,0,90.52,-0.05,0,234.71,11.28,8.93,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.74,0,none,14.42
05/15/2011,40618,9,0,0,0,0,0,83,-0.05,0,277.62,12.27,10.22,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.961,0,none,14.42
05/15/2011,40618,10,0,0,0,0,0,75.67,-0.05,0,307.4,13.28,11.61,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.051,0,none,14.42
05/15/2011,40618,11,0,0,0,0,0,69.11,-0.05,0,322.65,14.23,12.99,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,71.118,0,none,14.42
05/15/2011,40618,12,0,0,0,0,0,63.66,-0.05,0,322.65,15.07,14.25,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,70.221,0,none,14.42
05/15/2011,40618,13,0,0,0,0,0,59.5,-0.05,0,307.4,15.74,15.3,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,69.367,0,none,14.42
05/15/2011,40618,14,0,0,0,0,0,56.71,-0.05,0,277.62,16.24,16.05,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.637,0,none,14.42
05/15/2011,40618,15,0,0,0,0,0,55.3,-0.05,0,234.71,16.51,16.45,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.103,0,none,14.42
05/15/2011,40618,16,0,0,0,0,0,55.26,-0.05,0,180.71,16.56,16.46,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.831,0,none,14.42
