date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,100,-0.05,0,0,12.2,9.61,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,74.859,0,none,14.42
05/15/2011,40618,1,0,0,0,0,0,100,-0.05,0,0,12.22,9.32,12.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.941,0,none,14.42
05/15/2011,40618,2,0,0,0,0,0,100,-0.05,0,0,12.08,9.05,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.942,0,none,14.42
05/15/2011,40618,3,0,0,0,0,0,100,-0.05,0,0,11.91,8.78,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.917,0,none,14.42
05/15/2011,40618,4,0,0,0,0,0,100,-0.05,0,1.57,11.73,8.53,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.878,0,none,14.42
05/15/2011,40618,5,0,0,0,0,0,100,-0.05,0,50.05,11.54,8.57,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.829,0,none,14.42
05/15/2011,40618,6,0,0,0,0,0,100,-0.05,0,118.17,11.5,9.07,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.73,0,none,14.42
05/15/2011,40618,7,0,0,0,0,0,100,-0.05,0,180.71,12.12,9.93,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.289,0,none,14.42
05/15/2011,40618,8,0,0,0,0,0,93.32,-0.05,0,234.71,13.03,11.1,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.663,0,none,14.42
05/15/2011,40618,9,0,0,0,0,0,85.29,-0.05,0,277.62,14.01,12.46,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.848,0,none,14.42
