date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,86.02,-0.05,0,0,11.76,9.61,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,74.298,0,none,14.42
05/15/2011,40618,1,0,0,0,0,0,87.72,-0.05,0,0,11.77,9.32,11.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.37,0,none,14.42
05/15/2011,40618,2,0,0,0,0,0,89.37,-0.05,0,0,11.64,9.05,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.374,0,none,14.42
05/15/2011,40618,3,0,0,0,0,0,90.98,-0.05,0,0,11.5,8.78,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.358,0,none,14.42
05/15/2011,40618,4,0,0,0,0,0,92.54,-0.05,0,1.57,11.34,8.53,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.332,0,none,14.42
05/15/2011,40618,5,0,0,0,0,0,92.31,-0.05,0,50.05,11.19,8.57,11.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.299,0,none,14.42
05/15/2011,40618,6,0,0,0,0,0,89.25,-0.05,0,118.17,11.16,9.07,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,74.207,0,none,14.42
05/15/2011,40618,7,0,0,0,0,0,84.19,-0.05,0,180.71,11.75,9.93,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.739,0,none,14.42
05/15/2011,40618,8,0,0,0,0,0,77.9,-0.05,0,234.71,12.59,11.1,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,73.049,0,none,14.42
05/15/2011,40618,9,0,0,0,0,0,71.19,-0.05,0,277.62,13.55,12.46,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.178,0,none,14.42
