date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,98.7,-0.05,0,0,13.83,9.18,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,75.459,0,none,14.46
05/15/2011,40618,1,0,0,0,0,0,100,-0.05,0,0,13.25,8.67,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.21,0,none,14.46
05/15/2011,40618,2,0,0,0,0,0,100,-0.05,0,0,12.75,8.2,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.358,0,none,14.46
05/15/2011,40618,3,0,0,0,0,0,100,-0.05,0,0,12.3,7.76,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,70.891,0,none,14.46
05/15/2011,40618,4,0,0,0,0,0,100,-0.05,0,0.46,11.88,7.35,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,69.882,0,none,14.46
05/15/2011,40618,5,0,0,0,0,0,100,-0.05,0,12.72,11.48,7.38,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,69.081,0,none,14.46
05/15/2011,40618,6,0,0,0,0,0,100,-0.05,0,29.54,11.25,7.99,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.413,0,none,14.46
05/15/2011,40618,7,0,0,0,0,0,100,-0.05,0,44.98,11.38,8.96,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.747,0,none,14.46
05/15/2011,40618,8,0,0,0,0,0,92.62,-0.05,0,58.3,11.75,10.13,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.139,0,none,14.46
05/15/2011,40618,9,0,0,0,0,0,85.84,-0.05,0,68.88,12.2,11.27,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,66.537,0,none,14.46
05/15/2011,40618,10,0,0,0,0,0,80.87,-0.05,0,76.23,12.68,12.17,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.916,0,none,14.46
05/15/2011,40618,11,0,0,0,0,0,78.27,-0.05,0,79.99,13.13,12.67,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.301,0,none,14.46
05/15/2011,40618,12,0,0,0,0,0,78.27,-0.05,0,79.99,13.47,12.67,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,64.727,0,none,14.46
05/15/2011,40618,13,0,0,0,0,0,80.87,-0.05,0,76.23,13.65,12.17,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,64.228,0,none,14.46
05/15/2011,40618,14,0,0,0,0,0,85.84,-0.05,0,68.88,13.63,11.27,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.836,0,none,14.46
05/15/2011,40618,15,0,0,0,0,0,92.62,-0.05,0,58.3,13.41,10.13,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.57,0,none,14.46
05/15/2011,40618,16,0,0,0,0,0,100,-0.05,0,44.98,13.01,8.96,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.434,0,none,14.46
05/15/2011,40618,17,0,0,0,0,0,100,-0.05,0,29.54,12.49,7.99,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.409,0,none,14.46
05/15/2011,40618,18,0,0,0,0,0,100,-0.05,0,12.72,12.43,7.38,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
05/15/2011,40618,19,0,0,0,0,0,100,-0.05,0,0.46,11.75,7.23,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
05/15/2011,40618,20,0,0,0,0,0,100,-0.05,0,0,11.34,7.16,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
05/15/2011,40618,21,0,0,0,0,0,100,-0.05,0,0,11.08,7.1,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
05/15/2011,40618,22,0,0,0,0,0,100,-0.05,0,0,10.88,7.03,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
05/15/2011,40618,23,0,0,0,0,0,100,-0.05,0,0,10.7,6.96,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
05/16/2011,40619,0,0,0,0,0,0,86.63,-0.05,0,0,10.58,6.9,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.5
05/16/2011,40619,1,0,0,0,0,0,87.01,-0.05,0,0,10.13,6.84,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.5
05/16/2011,40619,2,0,0,0,0,0,87.38,-0.05,0,0,9.89,6.77,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.5
05/16/2011,40619,3,0,0,0,0,0,87.76,-0.05,0,0,9.7,6.71,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.5
05/16/2011,40619,4,0,0,0,0,0,88.13,-0.05,2.09,0.8,9.54,6.65,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.5
