date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,40618,0,0,0,0,0,0,99.64,-0.05,0,0,15.57,11.18,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,75.459,0,none,14.46
05/15/2011,40618,1,0,0,0,0,0,100,-0.05,0,0,15.01,10.67,15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.047,0,none,14.46
05/15/2011,40618,2,0,0,0,0,0,100,-0.05,0,0,14.5,10.2,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,72.179,0,none,14.46
05/15/2011,40618,3,0,0,0,0,0,100,-0.05,0,0,14.06,9.76,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,70.731,0,none,14.46
05/15/2011,40618,4,0,0,0,0,0,100,-0.05,0,0.46,13.64,9.35,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,69.716,0,none,14.46
05/15/2011,40618,5,0,0,0,0,0,100,-0.05,0,12.72,13.25,9.39,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.913,0,none,14.46
05/15/2011,40618,6,0,0,0,0,0,100,-0.05,0,29.54,13.02,9.99,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,68.24,0,none,14.46
05/15/2011,40618,7,0,0,0,0,0,100,-0.05,0,44.98,13.14,10.97,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,67.565,0,none,14.46
05/15/2011,40618,8,0,0,0,0,0,93.58,-0.05,0,58.3,13.51,12.13,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,66.971,0,none,14.46
05/15/2011,40618,9,0,0,0,0,0,86.84,-0.05,0,68.88,13.96,13.27,13.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,66.359,0,none,14.46
05/15/2011,40618,10,0,0,0,0,0,81.89,-0.05,0,76.23,14.43,14.18,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.723,0,none,14.46
05/15/2011,40618,11,0,0,0,0,0,79.29,-0.05,0,79.99,14.87,14.68,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,65.091,0,none,14.46
05/15/2011,40618,12,0,0,0,0,0,79.29,-0.05,0,79.99,15.21,14.68,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,64.499,0,none,14.46
05/15/2011,40618,13,0,0,0,0,0,81.89,-0.05,0,76.23,15.38,14.18,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.985,0,none,14.46
05/15/2011,40618,14,0,0,0,0,0,86.84,-0.05,0,68.88,15.36,13.27,15.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.583,0,none,14.46
05/15/2011,40618,15,0,0,0,0,0,93.58,-0.05,0,58.3,15.15,12.13,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.323,0,none,14.46
05/15/2011,40618,16,0,0,0,0,0,100,-0.05,0,44.98,14.76,10.97,14.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.199,0,none,14.46
05/15/2011,40618,17,0,0,0,0,0,100,-0.05,0,29.54,14.24,9.99,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.176,0,none,14.46
05/15/2011,40618,18,0,0,0,0,0,100,-0.05,0,12.72,14.2,9.39,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,75.459,0,none,14.46
