date,jday,time,Leaves,Dropped,LA/pl,LA_dead,LAI,RH,LeafWP,PFD,SolRad,SoilT,Tair,Tcan,ETdmd,ETsply,Pn,Pg,Respir,av_gs,sunlit_LAI,shaded_LAI,sunlit_PFD,shaded_PFD,sunlit_An,shaded_An,sunlit_Ag,shaded_Ag,sunlit_gs,shaded_gs,VPD,Nitr,N_Dem,NUpt,LeafN,PCRL,totalDM,shootDM,earDM,GrleafDM,DrpLfDM,stemDM,rootDM,SoilRt,MxRtDep,AvailW,solubleC,Note,
05/15/2011,38427,0,0,0,0,0,0,97.26,-0.05,0,0,15.38,11.75,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0075,0,0.275,0.193,0,0.17,0,0.02,0,0.176,0,63.569,0,none,14.06
05/15/2011,38427,1,0,0,0,0,0,99.15,-0.05,0,0,14.98,11.46,14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,63.056,0,none,14.06
05/15/2011,38427,2,0,0,0,0,0,100,-0.05,0,0,14.66,11.18,14.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.917,0,none,14.06
05/15/2011,38427,3,0,0,0,0,0,100,-0.05,0,0,14.36,10.92,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.838,0,none,14.06
05/15/2011,38427,4,0,0,0,0,0,100,-0.05,0,0.02,14.08,10.66,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.77,0,none,14.06
05/15/2011,38427,5,0,0,0,0,0,100,-0.05,0,23.99,13.8,10.73,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.708,0,none,14.06
05/15/2011,38427,6,0,0,0,0,0,95.74,-0.05,0,68.04,13.64,11.99,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.647,0,none,14.06
05/15/2011,38427,7,0,0,0,0,0,82.74,-0.05,0,108.7,14.17,14.22,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,62.24,0,none,14.06
05/15/2011,38427,8,0,0,0,0,0,69.29,-0.05,0,143.96,15.07,16.99,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,61.515,0,none,14.06
05/15/2011,38427,9,0,0,0,0,0,58.29,-0.05,0,172.06,16.22,19.75,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,60.505,0,none,14.06
05/15/2011,38427,10,0,0,0,0,0,50.89,-0.05,0,191.61,17.48,21.97,17.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,59.29,0,none,14.06
05/15/2011,38427,11,0,0,0,0,0,47.25,-0.05,0,201.63,18.65,23.19,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.063,0,none,14.06
05/15/2011,38427,12,0,0,0,0,0,47.25,-0.05,0,201.63,19.56,23.19,19.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,56.877,0,none,14.06
05/15/2011,38427,13,0,0,0,0,0,50.89,-0.05,0,191.61,20.05,21.97,20.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,55.846,0,none,14.06
05/15/2011,38427,14,0,0,0,0,0,58.29,-0.05,0,172.06,20.06,19.75,20.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,55.154,0,none,14.06
05/15/2011,38427,15,0,0,0,0,0,69.29,-0.05,0,143.96,19.6,16.99,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,54.831,0,none,14.06
05/15/2011,38427,16,0,0,0,0,0,82.74,-0.05,0,108.7,18.73,14.22,18.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,54.902,0,none,14.06
05/15/2011,38427,17,0,0,0,0,0,95.74,-0.05,0,68.04,17.6,11.99,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,55.319,0,none,14.06
05/15/2011,38427,18,0,0,0,0,0,100,-0.05,0,23.99,16.36,10.73,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,56.014,0,none,14.06
05/15/2011,38427,19,0,0,0,0,0,100,-0.05,0,0.02,15.13,10.55,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,56.789,0,none,14.06
05/15/2011,38427,20,0,0,0,0,0,100,-0.05,0,0,14.48,10.55,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,57.231,0,none,14.06
05/15/2011,38427,21,0,0,0,0,0,100,-0.05,0,0,14.07,10.55,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,57.539,0,none,14.06
05/15/2011,38427,22,0,0,0,0,0,100,-0.05,0,0,13.76,10.55,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,57.773,0,none,14.06
05/15/2011,38427,23,0,0,0,0,0,100,-0.05,0,0,13.53,10.55,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,57.96,0,none,14.06
05/16/2011,38428,0,0,0,0,0,0,100,-0.05,0,0,13.35,11.96,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.113,0,none,14.09
05/16/2011,38428,1,0,0,0,0,0,100,-0.05,0,0,13.66,12.22,13.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.239,0,none,14.09
05/16/2011,38428,2,0,0,0,0,0,100,-0.05,0,0,13.78,12.48,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.345,0,none,14.09
05/16/2011,38428,3,0,0,0,0,0,100,-0.05,0,0,13.89,12.74,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.435,0,none,14.09
05/16/2011,38428,4,0,0,0,0,0,100,-0.05,0.12,0.05,14,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.512,0,none,14.09
05/16/2011,38428,5,0,0,0,0,0,100,-0.05,67.42,25.71,14.11,13.33,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0.0074,0,0.275,0.193,0,0.17,0,0.02,0,0.176,195.4,58.577,0,none,14.09
